zip_code,lat,long
91911,32.6059744,-117.0441009
91914,32.6762339,-116.9440313
91915,32.6277588,-116.94991909999999
91932,32.582989399999995,-117.1205925
91942,32.774948699999996,-117.01467360000001
91945,32.7381191,-117.0382158
91950,32.6721599,-117.0970596
92014,32.986421500000006,-117.22645700000001
92025,33.090284999999994,-117.04998590000002
92027,33.1467885,-117.00878770000001
92029,33.0852605,-117.13824040000002
92037,32.828325899999996,-117.255854
92064,32.979976199999996,-117.00878770000001
92065,33.065428600000004,-116.8203511
92067,33.0177,-117.2265
92071,32.8678728,-116.99701529999999
92075,32.9956666,-117.2646723
92101,32.7269669,-117.1647094
92102,32.7162223,-117.13235790000002
92103,32.749789,-117.16765009999999
92104,32.739867100000005,-117.1205925
92105,32.7348953,-117.0970596
92106,32.7090984,-117.241156
92107,32.7409782,-117.24997490000001
92108,32.7742488,-117.14118149999999
92109,32.7920948,-117.2323367
92110,32.765731800000005,-117.199996
92111,32.825642699999996,-117.15588670000001
92113,32.6980553,-117.1205925
92114,32.7040143,-117.04998590000002
92115,32.761275899999994,-117.07352409999999
92116,32.767917600000004,-117.12353390000001
92117,32.8250767,-117.20293629999999
92118,32.6920499,-117.19117490000001
92119,32.8112871,-117.0382158
92120,32.792626399999996,-117.07352409999999
92121,32.8981142,-117.20293629999999
92122,32.856384600000005,-117.20293629999999
92123,32.8102534,-117.13235790000002
92124,32.8250787,-117.091176
92126,32.9184763,-117.13824040000002
92127,33.0227476,-117.13824040000002
92128,33.0013938,-117.07352409999999
92129,32.9657005,-117.1147095
92130,32.9436607,-117.20881670000001
92131,32.8932137,-117.06763980000001
92139,32.685825699999995,-117.0382158
92145,32.8729,-117.1324
92154,32.5967198,-116.9028125
92173,32.549744399999994,-117.0382158
